date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:35	173671/173671	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2002:38:34%20GMT	https://www.boxcarquilts.com/	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/www.boxcarquilts.com/index.html	(from )
21:38:36	523383/523383	---MCZ	200	added ('OK')	text/css	etag:%227fc77-61f3ed4ccf7bf-gzip%22	https://www.boxcarquilts.com/1723204578/bootflat/css/fontawesome-pro-6.5.2-web/css/all.min.css	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/www.boxcarquilts.com/1723204578/bootflat/css/fontawesome-pro-6.5.2-web/css/all.min.css	(from https://www.boxcarquilts.com/)
21:38:36	27423/27423	---M-Z	200	added ('OK')	text/css	etag:%226b1f-61f3ed4ccf7bf-gzip%22	https://www.boxcarquilts.com/1723204578/bootflat/css/fontawesome-pro-6.5.2-web/css/v4-shims.min.css	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/www.boxcarquilts.com/1723204578/bootflat/css/fontawesome-pro-6.5.2-web/css/v4-shims.min.css	(from https://www.boxcarquilts.com/)
21:38:36	8583/8583	---MC-	200	added ('OK')	image/x-icon	date:Mon,%2014%20Jul%202025%2002:38:36%20GMT	https://www.boxcarquilts.com/favicon.ico	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/www.boxcarquilts.com/favicon.ico	(from https://www.boxcarquilts.com/)
21:38:36	90977/90977	---M--	200	added ('OK')	image/png	etag:%229f9c07bcb0fb15e411845c8c83e55460%22	https://media.rainpos.com/6009/footer_image.png	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/media.rainpos.com/6009/footer_image.png	(from https://www.boxcarquilts.com/)
21:38:37	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.boxcarquilts.com/)
21:38:37	113498/113498	---MCZ	200	added ('OK')	text/css	etag:W/%223ab3438f85ad9f9e27e1af1facf0a9c4%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	(from https://www.boxcarquilts.com/)
21:38:37	32021/32021	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.4/themes/smoothness/jquery-ui.css	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/ajax.googleapis.com/ajax/libs/jqueryui/1.10.4/themes/smoothness/jquery-ui.css	(from https://www.boxcarquilts.com/)
21:38:37	375/375	---M--	200	added ('OK')	image/png	etag:%224b5bd6bf37c9ed3bc55cba546ac80be6%22	https://cdn-icons-png.flaticon.com/16/747/747310.png	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/cdn-icons-png.flaticon.com/16/747/747310.png	(from https://www.boxcarquilts.com/)
21:38:38	26515/26515	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Jul%202025%2002:38:37%20GMT	https://www.boxcarquilts.com/website-accessibility.htm	C:/Users/boxca/OneDrive/Desktop/html%20text%20files%20for%20web/BCQ/www.boxcarquilts.com/website-accessibility.8.delayed	(from https://www.boxcarquilts.com/)
